model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7q0g_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_000	0.853	1.729	2.756	2.795	4.218	2.461	2.64	3.965	7q0g
7q0g_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_002	0.829	1.78	2.85	2.883	3.984	2.583	2.74	3.939	7q0g
7q0g_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_004	0.803	1.72	2.7	2.891	4.379	2.64	2.605	3.779	7q0g
7q0g_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_003	0.781	1.217	1.988	1.889	2.075	1.313	1.945	2.553	7q0g
7q0g_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	0.785	1.641	2.682	2.815	3.898	2.406	2.552	3.666	7q0g
7q0g_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.751	1.71	2.794	2.936	4.849	2.652	2.644	3.752	7q0g
7q0g_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_002	0.895	1.634	2.638	2.794	4.204	3.303	2.588	3.52	7q0g
7q0i_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_004	0.863	0.714	0.703	0.694	1.855	1.151	0.535	1.215	7q0i
7q0i_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.599	0.525	0.551	0.369	5.664	0.649	0.207	0.652	7q0i
7q0i_unrelaxed_rank_010_alphafold2_multimer_v3_model_5_seed_001	0.863	0.713	0.77	0.466	5.465	0.934	0.263	0.735	7q0i
7q0i_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	0.713	0.613	0.683	0.671	1.829	0.69	0.348	0.99	7q0i
7q0i_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_003	0.722	0.604	0.656	0.366	5.583	0.719	0.312	0.782	7q0i
7q0i_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002	0.621	0.521	0.491	0.303	5.514	0.531	0.214	0.647	7q0i
7q0i_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	0.804	0.668	0.709	0.478	5.535	0.88	0.266	0.75	7q0i
7q0i_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003	0.807	0.677	0.88	0.633	1.952	0.897	0.44	1.044	7q0i
7q0i_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_000	0.587	0.495	0.502	0.357	5.469	0.373	0.221	0.731	7q0i
7q0i_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_002	0.763	0.631	0.629	0.381	5.357	0.859	0.287	0.747	7q0i
7q0i_unrelaxed_rank_022_alphafold2_multimer_v3_model_2_seed_003	0.606	0.516	0.503	0.307	5.506	0.477	0.225	0.682	7q0i
7q0i_unrelaxed_rank_006_alphafold2_multimer_v3_model_1_seed_000	0.583	0.517	0.533	0.867	5.424	0.552	0.221	0.658	7q0i
7q0i_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_001	0.778	0.642	0.664	0.368	5.531	0.844	0.275	0.766	7q0i
7q0i_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_000	0.813	0.681	0.822	0.815	1.517	1.004	0.528	1.085	7q0i
7q0i_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	0.665	0.552	0.621	0.359	5.545	0.626	0.306	0.784	7q0i
7q0i_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	0.829	0.685	0.732	0.451	5.405	0.888	0.259	0.783	7q0i
7q0i_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	0.599	0.529	0.564	0.305	5.373	0.618	0.219	0.662	7q0i
7q0i_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_002	0.824	0.653	0.662	0.342	5.152	1.005	0.419	0.88	7q0i
7q0i_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_001	0.849	0.696	0.757	0.39	5.669	0.967	0.358	0.758	7q0i
7q0i_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	0.758	0.64	0.706	1.139	5.496	0.771	0.305	0.708	7q0i
7q0i_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_000	0.834	0.697	0.799	0.546	5.344	0.84	0.269	0.776	7q0i
7q0i_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_003	0.61	0.556	0.567	0.486	1.383	0.648	0.302	0.889	7q0i
7q0i_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_001	0.615	0.528	0.524	0.337	5.665	0.482	0.22	0.634	7q0i
7q0i_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_004	0.767	0.628	0.521	0.337	5.38	0.787	0.233	0.695	7q0i
7q0i_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_004	0.693	0.584	0.56	0.959	5.499	0.8	0.27	0.706	7q0i
7qnw_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	1.073	1.083	4.602	3.275	2.855	0.775	0.821	3.434	7qnw
7qnw_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_004	1.069	1.005	4.535	2.972	2.12	0.704	0.677	3.406	7qnw
7qnw_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_004	1.034	0.999	4.503	3.275	2.65	0.812	0.828	3.25	7qnw
7qnw_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	1.061	1.131	4.426	3.373	2.75	0.849	0.91	3.354	7qnw
7qnw_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	1.033	1.043	4.533	3.248	2.632	0.79	0.738	3.315	7qnw
7qnw_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000	1.028	1.008	4.534	3.275	2.6	0.847	0.826	3.187	7qnw
7qnw_unrelaxed_rank_018_alphafold2_multimer_v3_model_1_seed_003	1.031	0.952	4.726	3.216	2.991	0.658	0.727	3.387	7qnw
7qnw_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_003	1.045	0.958	4.576	3.25	2.619	0.776	0.778	3.186	7qnw
7qnw_unrelaxed_rank_011_alphafold2_multimer_v3_model_1_seed_004	1.042	0.946	4.693	3.234	2.844	0.669	0.678	3.345	7qnw
7qnw_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_001	1.071	1.037	4.687	3.132	2.398	0.699	0.674	3.473	7qnw
7qnw_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_000	1.062	1.18	4.384	3.451	2.773	0.885	0.95	3.347	7qnw
7qnw_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_000	1.041	0.955	4.522	3.219	2.973	0.689	0.715	3.354	7qnw
7qnw_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_001	1.057	1.189	4.471	3.339	2.835	0.825	0.945	3.409	7qnw
7qnw_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	1.009	0.916	4.694	3.053	1.651	0.587	0.622	3.279	7qnw
7qnw_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	1.006	0.883	4.594	3.095	2.468	0.576	0.545	3.292	7qnw
7qnw_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_001	1.05	1.034	4.413	3.333	2.687	0.798	0.805	3.25	7qnw
7qnw_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_003	1.052	1.106	4.291	3.478	2.502	1.136	1.006	3.175	7qnw
7qnw_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_001	1.031	1.09	4.68	3.36	1.898	0.712	0.806	3.484	7qnw
7qnw_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_002	1.059	1.124	4.525	3.311	2.818	0.812	0.876	3.418	7qnw
7qnw_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_002	1.049	0.989	4.585	3.026	2.638	0.656	0.675	3.519	7qnw
7qnw_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_000	1.076	1.074	4.477	3.097	2.889	0.789	0.798	3.426	7qnw
7qnw_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_002	1.035	0.972	4.691	3.196	3.125	0.673	0.735	3.417	7qnw
7qnw_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_004	1.055	1.071	4.614	3.238	2.794	0.761	0.832	3.407	7qnw
7qnw_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	1.06	1.157	4.483	3.358	2.811	0.836	0.923	3.374	7qnw
7qnw_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_003	1.036	1.042	4.636	3.136	1.672	0.722	0.755	3.404	7qnw
7qny_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_003	0.419	0.633	0.728	2.153	5.384	0.549	0.411	0.484	7qny
7qny_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_001	0.418	0.651	0.695	2.169	5.118	0.547	0.517	0.482	7qny
7qny_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_003	0.415	0.616	0.669	2.16	5.36	0.433	0.387	0.501	7qny
7qny_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_003	0.426	0.676	0.696	2.135	5.392	0.566	0.52	0.54	7qny
7qny_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_004	0.422	0.615	0.656	2.157	5.259	0.443	0.354	0.521	7qny
7qny_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_002	0.633	0.663	0.757	2.167	5.475	1.721	0.488	0.538	7qny
7qny_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_002	0.423	0.631	0.774	2.14	5.348	0.465	0.481	0.434	7qny
7qny_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_000	0.444	0.642	0.727	2.125	5.442	0.533	0.444	0.501	7qny
7qny_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.428	0.68	0.648	2.158	5.168	0.584	0.512	0.535	7qny
7qny_unrelaxed_rank_015_alphafold2_multimer_v3_model_2_seed_002	0.417	0.646	0.68	2.171	5.112	0.547	0.521	0.486	7qny
7qny_unrelaxed_rank_021_alphafold2_multimer_v3_model_2_seed_004	0.421	0.642	0.702	2.154	5.297	0.519	0.513	0.485	7qny
7qny_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_001	0.437	0.651	0.749	2.138	5.37	0.536	0.429	0.476	7qny
7qny_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000	0.429	0.672	0.678	2.149	5.337	0.542	0.509	0.534	7qny
7qny_unrelaxed_rank_012_alphafold2_multimer_v3_model_5_seed_001	0.436	0.645	0.736	2.162	5.391	0.574	0.441	0.494	7qny
7qny_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_004	0.435	0.628	0.684	2.166	5.149	0.553	0.377	0.511	7qny
7qny_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_000	0.426	0.657	0.739	2.171	5.549	0.573	0.411	0.49	7qny
7qny_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	0.421	0.614	0.634	2.161	4.811	0.442	0.353	0.529	7qny
7qny_unrelaxed_rank_014_alphafold2_multimer_v3_model_2_seed_003	0.426	0.644	0.702	2.152	5.222	0.537	0.532	0.49	7qny
7qny_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_000	0.422	0.641	0.708	2.151	5.291	0.527	0.511	0.473	7qny
7qny_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.427	0.672	0.688	2.147	5.327	0.533	0.499	0.53	7qny
7qny_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_002	0.673	0.652	0.668	2.175	5.37	1.896	0.425	0.602	7qny
7qny_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	0.424	0.615	0.633	2.168	5.07	0.417	0.346	0.543	7qny
7qny_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	0.426	0.69	0.714	2.153	5.392	0.584	0.531	0.533	7qny
7qny_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	0.435	0.641	0.75	2.121	5.42	0.537	0.413	0.476	7qny
7qny_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_004	0.432	0.638	0.737	2.13	5.612	0.516	0.413	0.48	7qny
7qu1_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_002	7.601	9.094	0.929	0.983	8.394	1.279	0.453	10.291	7qu1
7qu1_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_002	7.631	9.195	0.843	0.793	8.428	1.078	0.313	10.342	7qu1
7qu1_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_003	0.386	0.682	0.224	0.384	1.291	0.901	0.492	0.35	7qu1
7qu1_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	7.557	9.117	1.072	1.111	8.114	1.247	0.381	10.183	7qu1
7qu1_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_000	7.703	9.164	0.973	1.136	8.37	1.429	0.636	10.21	7qu1
7qu1_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_001	0.394	0.653	0.199	0.357	1.26	0.626	0.429	0.401	7qu1
7qu1_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_004	7.421	9.078	0.814	0.781	8.038	0.57	0.304	10.343	7qu1
7qu1_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_003	7.563	9.066	0.966	1.0	8.399	0.913	0.483	10.428	7qu1
7qu1_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_001	0.389	0.691	0.238	0.387	1.165	0.906	0.487	0.336	7qu1
7qu1_unrelaxed_rank_008_alphafold2_multimer_v3_model_3_seed_002	0.374	0.585	0.182	0.361	1.105	0.627	0.468	0.305	7qu1
7qu1_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_004	0.387	0.694	0.273	0.407	1.172	0.939	0.52	0.35	7qu1
7qu1_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_001	7.567	9.181	0.919	0.959	8.098	1.136	0.316	10.046	7qu1
7qu1_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_004	7.561	9.067	1.006	1.08	8.447	1.355	0.528	10.364	7qu1
7qu1_unrelaxed_rank_015_alphafold2_multimer_v3_model_1_seed_001	7.544	9.058	0.957	0.922	8.396	0.841	0.482	10.312	7qu1
7qu1_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_004	7.562	9.175	1.171	1.072	8.146	1.076	0.306	10.527	7qu1
7qu1_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003	7.616	9.152	1.028	0.819	8.585	0.756	0.421	10.435	7qu1
7qu1_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_000	0.392	0.623	0.229	0.394	1.217	0.942	0.529	0.332	7qu1
7qu1_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_002	0.385	0.66	0.271	0.409	1.171	0.939	0.515	0.335	7qu1
7qu1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.321	0.715	0.294	0.398	1.141	0.568	0.442	0.318	7qu1
7qu1_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_003	7.554	9.157	1.191	1.141	8.145	0.73	0.398	10.596	7qu1
7qu1_unrelaxed_rank_011_alphafold2_multimer_v3_model_3_seed_000	0.421	0.581	0.181	0.343	1.233	0.892	0.478	0.36	7qu1
7qu1_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_001	7.603	9.099	0.889	0.94	8.194	1.254	0.482	10.365	7qu1
7qu1_unrelaxed_rank_009_alphafold2_multimer_v3_model_3_seed_004	0.393	0.578	0.194	0.348	1.214	0.772	0.437	0.379	7qu1
7qu1_unrelaxed_rank_016_alphafold2_multimer_v3_model_1_seed_002	7.553	9.057	0.967	0.961	8.449	0.88	0.512	10.35	7qu1
7qu1_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_003	7.422	9.016	0.939	0.842	8.096	0.566	0.405	10.395	7qu1
7qu2_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_001	0.638	2.052	0.724	1.524	4.409	1.465	0.975	0.77	7qu2
7qu2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	0.656	2.062	0.659	1.537	2.587	1.402	1.051	0.66	7qu2
7qu2_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	0.659	2.082	0.694	1.52	2.209	1.444	1.043	0.707	7qu2
7qu2_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	0.617	2.007	0.685	1.354	2.002	1.297	0.978	0.652	7qu2
7qu2_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_004	0.626	2.026	0.618	1.386	2.135	1.359	1.079	0.62	7qu2
7qu2_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_001	0.605	1.979	0.637	1.193	2.183	1.163	0.947	0.525	7qu2
7qu2_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	0.622	2.044	0.761	1.569	4.374	1.528	1.124	0.714	7qu2
7qu2_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003	0.637	2.049	0.632	1.443	2.549	1.395	1.042	0.635	7qu2
7qu2_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_003	0.626	2.044	0.696	1.409	2.288	1.397	0.997	0.738	7qu2
7qu2_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_004	0.638	2.058	0.666	1.545	2.557	1.442	1.023	0.681	7qu2
7qu2_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_003	0.602	1.979	0.628	1.184	2.152	1.166	0.92	0.498	7qu2
7qu2_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_003	0.592	2.002	0.682	1.358	2.154	1.371	1.047	0.664	7qu2
7qu2_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_004	0.657	2.088	0.715	1.585	2.183	1.486	1.07	0.711	7qu2
7qu2_unrelaxed_rank_010_alphafold2_multimer_v3_model_4_seed_002	0.634	2.047	0.658	1.371	2.232	1.323	1.076	0.584	7qu2
7qu2_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_004	0.606	1.957	0.647	1.154	2.162	1.158	0.913	0.494	7qu2
7qu2_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_002	0.656	2.088	0.714	1.523	2.297	1.446	1.042	0.726	7qu2
7qu2_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_000	0.64	2.066	0.661	1.461	3.966	1.492	1.028	0.743	7qu2
7qu2_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_002	0.639	2.054	0.653	1.463	3.964	1.426	1.018	0.712	7qu2
7qu2_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.627	2.065	0.752	1.515	2.923	1.536	1.111	0.809	7qu2
7qu2_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_000	0.593	2.031	0.732	1.531	3.917	1.571	1.138	0.806	7qu2
7qu2_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	0.625	1.981	0.667	1.329	2.259	1.229	0.982	0.575	7qu2
7qu2_unrelaxed_rank_019_alphafold2_multimer_v3_model_4_seed_000	0.603	2.013	0.602	1.272	2.198	1.261	1.048	0.56	7qu2
7qu2_unrelaxed_rank_013_alphafold2_multimer_v3_model_5_seed_001	0.619	2.007	0.653	1.344	2.095	1.236	0.995	0.547	7qu2
7qu2_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_002	0.605	2.013	0.687	1.381	2.202	1.369	1.054	0.687	7qu2
7qu2_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000	0.656	2.09	0.729	1.586	3.685	1.54	1.069	0.78	7qu2
7rfb_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_002	0.499	0.578	0.846	0.472	7.096	0.822	0.554	0.48	7rfb
7rfb_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_003	0.505	0.602	0.897	0.577	6.68	0.943	0.361	0.626	7rfb
7rfb_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_000	0.56	0.675	0.892	0.677	6.98	1.109	0.465	0.824	7rfb
7rfb_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	0.508	0.58	0.93	0.718	6.32	0.896	0.404	0.525	7rfb
7rfb_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_003	7.195	9.167	1.255	1.143	13.14	0.886	0.684	7.607	7rfb
7rfb_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_003	0.517	0.618	0.94	0.74	6.225	0.996	0.363	0.619	7rfb
7rfb_unrelaxed_rank_016_alphafold2_multimer_v3_model_4_seed_004	0.496	0.64	0.889	0.647	6.72	0.86	0.476	0.58	7rfb
7rfb_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_004	0.511	0.611	0.955	0.735	6.861	0.874	0.387	0.534	7rfb
7rfb_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_002	0.511	0.611	0.882	0.567	6.707	0.973	0.386	0.635	7rfb
7rfb_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_000	7.08	9.128	1.836	1.716	13.253	0.971	1.01	6.888	7rfb
7rfb_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000	0.498	0.649	0.857	0.634	5.181	0.827	0.487	0.539	7rfb
7rfb_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_001	7.103	9.118	1.403	1.262	12.76	0.98	0.8	7.604	7rfb
7rfb_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_002	0.506	0.533	0.879	0.48	5.295	0.916	0.532	0.515	7rfb
7rfb_unrelaxed_rank_024_alphafold2_multimer_v3_model_5_seed_001	0.905	0.544	0.982	0.656	6.203	0.894	0.487	2.472	7rfb
7rfb_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_003	7.118	9.127	1.646	1.893	13.922	1.403	1.013	6.651	7rfb
7rfb_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_001	0.511	0.635	0.863	0.629	6.845	0.972	0.359	0.657	7rfb
7rfb_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000	0.512	0.646	0.973	0.776	6.102	0.938	0.394	0.588	7rfb
7rfb_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_003	0.496	0.573	0.846	0.463	6.953	0.808	0.488	0.443	7rfb
7rfb_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_000	0.668	0.583	0.972	0.739	6.602	0.868	0.512	1.426	7rfb
7rfb_unrelaxed_rank_013_alphafold2_multimer_v3_model_1_seed_004	0.512	0.633	0.886	0.613	6.854	0.951	0.381	0.642	7rfb
7rfb_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_004	0.513	0.58	0.907	0.663	6.061	0.872	0.436	0.595	7rfb
7rfb_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_001	0.509	0.583	0.841	0.473	6.565	0.908	0.471	0.508	7rfb
7rfb_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_002	0.497	0.601	0.849	0.51	5.533	0.889	0.435	0.547	7rfb
7rfb_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_002	0.92	0.518	1.016	0.632	5.491	0.803	0.478	2.593	7rfb
7rfb_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_004	0.505	0.591	0.84	0.504	6.759	0.899	0.414	0.542	7rfb
7s0b_unrelaxed_rank_012_alphafold2_multimer_v3_model_2_seed_001	0.472	0.545	0.708	0.82	2.7	1.068	1.084	0.602	7s0b
7s0b_unrelaxed_rank_017_alphafold2_multimer_v3_model_2_seed_003	0.463	0.544	0.715	0.814	3.383	1.061	1.091	0.602	7s0b
7s0b_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_002	0.492	0.508	0.525	0.632	4.205	1.051	1.103	0.752	7s0b
7s0b_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	0.462	0.514	0.554	0.732	4.358	1.01	1.099	0.646	7s0b
7s0b_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_003	0.477	0.494	0.52	0.564	4.194	1.043	1.107	0.756	7s0b
7s0b_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	0.491	0.512	0.556	0.675	4.009	1.082	1.105	0.788	7s0b
7s0b_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_002	0.476	0.505	0.513	0.684	4.336	1.067	1.095	0.631	7s0b
7s0b_unrelaxed_rank_014_alphafold2_multimer_v3_model_4_seed_001	0.473	0.49	0.522	0.658	4.403	1.066	1.083	0.566	7s0b
7s0b_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_003	0.467	0.472	0.424	0.492	4.888	0.948	1.098	0.544	7s0b
7s0b_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_002	0.477	0.501	0.555	0.647	3.692	1.043	1.111	0.749	7s0b
7s0b_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_000	0.461	0.505	0.728	0.853	3.257	1.033	1.091	0.587	7s0b
7s0b_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	0.466	0.488	0.547	0.731	4.358	0.981	1.098	0.613	7s0b
7s0b_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_004	0.46	0.594	0.66	0.867	3.445	1.05	1.088	0.673	7s0b
7s0b_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_004	0.471	0.481	0.623	0.703	3.312	1.042	1.089	0.724	7s0b
7s0b_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_001	0.477	0.482	0.576	0.619	3.727	1.072	1.091	0.739	7s0b
7s0b_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.472	0.509	0.619	0.821	3.574	1.039	1.095	0.663	7s0b
7s0b_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_004	0.462	0.495	0.557	0.733	4.161	1.06	1.085	0.584	7s0b
7s0b_unrelaxed_rank_022_alphafold2_multimer_v3_model_3_seed_001	0.491	0.511	0.535	0.63	4.269	1.088	1.097	0.739	7s0b
7s0b_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_000	0.485	0.493	0.51	0.612	4.433	1.04	1.091	0.715	7s0b
7s0b_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	0.482	0.491	0.514	0.61	4.495	1.05	1.094	0.732	7s0b
7s0b_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_002	0.469	0.522	0.718	0.821	3.331	1.046	1.092	0.585	7s0b
7s0b_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_004	0.459	0.608	0.737	0.862	3.194	1.064	1.078	0.578	7s0b
7s0b_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_000	0.476	0.488	0.56	0.618	3.923	1.046	1.099	0.743	7s0b
7s0b_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_000	0.468	0.493	0.453	0.574	4.762	0.996	1.101	0.596	7s0b
7s0b_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_001	0.472	0.501	0.638	0.837	3.55	1.058	1.088	0.638	7s0b
7s11_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_002	0.623	1.507	1.21	1.223	4.091	1.54	1.613	1.363	7s11
7s11_unrelaxed_rank_013_alphafold2_multimer_v3_model_3_seed_003	0.617	1.432	1.084	0.992	4.055	1.499	1.555	1.405	7s11
